px1,py1,pz1,E1,px2,py2,pz2,E2
9.35,-44.8,885,886,-9.35,44.8,1310,1310
-18.5,-8.78,-90.7,92.9,18.5,8.78,6.19,21.4
17.6,-42.8,280,284,-17.6,42.8,354,357
-14,-27.6,1270,1280,14,27.6,177,180
17.9,-30,-553,554,-17.9,30,-110,115
28.6,-31.8,-0.447,42.7,-28.6,31.8,40.8,59.1
-24.5,10.3,84.9,88.9,24.5,-10.3,-10.8,28.7
-4.22,7.31,-478,478,4.22,-7.31,0.0906,8.44
29.6,-33.3,76.3,88.3,-29.6,33.3,44.1,62.7
-11.2,-43.7,-667,668,11.2,43.7,-460,462
-35,-27.7,590,591,35,27.7,924,925
38,22.8,-1240,1240,-38,-22.8,-747,749
-14.1,40.6,-29.4,52.1,14.1,-40.6,-74.3,85.9
27.1,26.4,-95.8,103,-27.1,-26.4,-355,357
39.8,-8.83,-99.5,108,-39.8,8.83,-29.5,50.3
-4.45,24.9,634,634,4.45,-24.9,53.3,59
19.7,43.4,55.5,73.1,-19.7,-43.4,47.6,67.3
-15.5,40.5,-715,717,15.5,-40.5,-1130,1130
-23.8,-28.7,1760,1760,23.8,28.7,473,474
-41.8,2.2,-1.67,41.9,41.8,-2.2,-43.8,60.6
-7.69,25.4,182,184,7.69,-25.4,10.1,28.4
12.6,6.01,27.8,31.1,-12.6,-6.01,-76.4,77.7
7.46,25,18.9,32.2,-7.46,-25,-20.7,33.3
0.335,17.1,-358,359,-0.335,-17.1,-9.11,19.4
3.21,27.8,-120,123,-3.21,-27.8,-1010,1010
21,-15.6,2.12,26.2,-21,15.6,140,142
-8.26,34.7,424,425,8.26,-34.7,1950,1950
4.16,-40.5,-99.4,107,-4.16,40.5,-280,283
-1.6,-37.8,-12.1,39.7,1.6,37.8,-83.6,91.7
24.2,1.15,630,630,-24.2,-1.15,184,186
-30.5,-24.5,-20.1,44,30.5,24.5,-118,125
-24.4,-20.3,-883,883,24.4,20.3,-143,146
-32.5,12,-335,336,32.5,-12,-1600,1600
-36.3,7.82,135,140,36.3,-7.82,30.5,48.1
45.2,11.3,297,300,-45.2,-11.3,198,203
29.1,-16.8,92.8,98.7,-29.1,16.8,488,489
0.242,-11.5,-13.7,17.9,-0.242,11.5,-854,854
-33.8,27,-39.8,58.8,33.8,-27,-84.2,94.7
-6.88,0.0423,339,339,6.88,-0.0423,-4.24,8.08
-29.2,20.5,67.1,75.9,29.2,-20.5,-2.27,35.7
16.6,-39.2,-433,435,-16.6,39.2,-935,936
29.6,34.3,991,992,-29.6,-34.3,700,702
41.1,-4.56,440,441,-41.1,4.56,209,213
30.1,-7.14,-86.9,92.2,-30.1,7.14,-568,568
-16.9,9.91,728,728,16.9,-9.91,33.2,38.6
-30.6,-10.3,11.2,34.1,30.6,10.3,129,133
24.6,-13.8,-390,391,-24.6,13.8,-52.5,59.6
17.8,-13,210,211,-17.8,13,3340,3340
-45.8,3.7,246,250,45.8,-3.7,253,257
17.5,0.513,22.4,28.5,-17.5,-0.513,-74.9,76.9
-15.2,36,-386,388,15.2,-36,-1300,1300
-21.3,13.1,-7.1,26,21.3,-13.1,106,109
0.617,-23.2,2.87,23.3,-0.617,23.2,180,182
34.5,19.3,-41.2,57,-34.5,-19.3,-114,121
-25.8,-14.8,65.3,71.8,25.8,14.8,498,498
0.904,-15.2,-9.48,17.9,-0.904,15.2,145,146
46.8,-3.85,-253,257,-46.8,3.85,-268,272
26.7,-15.8,2.71,31.2,-26.7,15.8,93.7,98.8
21.7,1.38,0.269,21.7,-21.7,-1.38,208,210
-1.31,-43.7,-536,538,1.31,43.7,-1140,1140
27,-38.7,96.6,108,-27,38.7,28.3,55
-4.11,23.2,178,180,4.11,-23.2,-7.31,24.7
-19,23.5,54.2,62.1,19,-23.5,403,404
